,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
47,CZR,"Caesars Entertainment, Inc.",49.31,-4.04,-7.57%,3.066M,3.531M,10.611B,N/A,10/03/2023 15:53:14
48,AL-PA,Air Lease Corporation,22.22,-1.82,-7.57%,"18,316","26,725",3.752B,N/A,10/03/2023 15:53:14
49,ARGGY,Aston Martin Lagonda Global Holdings plc,3.1250,-0.2550,-7.54%,"49,676","163,090",2.307B,N/A,10/03/2023 15:53:14
50,BEKE,KE Holdings Inc.,16.84,-1.37,-7.52%,10.165M,11.966M,22.122B,N/A,10/03/2023 15:53:14
51,ESRCF,ESR Group Limited,1.6000,-0.1300,-7.51%,"2,507","3,000",7.044B,14.55,10/03/2023 15:53:14
52,PPBI,"Pacific Premier Bancorp, Inc.",28.25,-2.29,-7.50%,"449,800","625,950",2.684B,9.48,10/03/2023 15:53:14
53,BIDU,"Baidu, Inc.",131.46,-10.64,-7.49%,3.798M,4.329M,48.457B,49.80,10/03/2023 15:53:14
54,OZK,Bank OZK,37.94,-3.06,-7.46%,"914,996",2.461M,4.441B,8.36,10/03/2023 15:53:14
55,HWC,Hancock Whitney Corporation,43.24,-3.48,-7.45%,"502,510","678,597",3.718B,7.82,10/03/2023 15:53:14
56,SNV,Synovus Financial Corp.,35.74,-2.86,-7.41%,1.14M,1.569M,5.22B,7.80,10/03/2023 15:53:14
57,BOH,Bank of Hawaii Corporation,67.53,-5.39,-7.39%,"171,130","469,938",2.687B,13.29,10/03/2023 15:53:14
58,BPYPP,Brookfield Property Partners L.P.,16.85,-1.37,-7.52%,"25,972","55,933",11.135B,7.67,10/03/2023 15:53:14
59,BMBL,Bumble Inc.,19.38,-1.50,-7.18%,2.35M,6.783M,3.578B,N/A,10/03/2023 15:53:14
60,KEY,KeyCorp,16.07,-1.24,-7.16%,11.416M,25.232M,14.974B,9.03,10/03/2023 15:53:14
61,HRI,Herc Holdings Inc.,135.08,-10.39,-7.14%,"234,442","461,753",4.237B,13.32,10/03/2023 15:53:14
62,BX,Blackstone Inc.,84.99,-6.52,-7.12%,4.556M,7.023M,102.201B,36.01,10/03/2023 15:53:14
63,GBCI,"Glacier Bancorp, Inc.",41.61,-3.19,-7.12%,"428,654","770,371",4.613B,15.19,10/03/2023 15:53:14
64,LUNMF,Lundin Mining Corporation,5.76,-0.44,-7.10%,"130,038","50,265",4.464B,10.29,10/03/2023 15:53:14
65,LBRT,Liberty Energy Inc.,14.87,-1.13,-7.06%,2.834M,2.44M,2.609B,7.63,10/03/2023 15:53:14
66,NTLA,"Intellia Therapeutics, Inc.",37.42,-2.83,-7.03%,1.17M,1.525M,3.294B,N/A,10/03/2023 15:53:14
67,UMBF,UMB Financial Corporation,79.76,-6.03,-7.03%,"208,901","245,838",3.869B,9.00,10/03/2023 15:53:14
68,USB,U.S. Bancorp,42.30,-3.19,-7.01%,8.127M,10.886M,64.795B,11.46,10/03/2023 15:53:14
69,ALLY,Ally Financial Inc.,27.38,-2.06,-7.00%,5.955M,8.025M,8.236B,5.43,10/03/2023 15:53:14
70,VRNS,"Varonis Systems, Inc.",25.05,-1.88,-6.98%,1.173M,1.381M,2.696B,N/A,10/03/2023 15:53:14
71,CVBF,CVB Financial Corp.,21.45,-1.60,-6.94%,"711,450",1.192M,2.992B,12.84,10/03/2023 15:53:14
72,EBC,"Eastern Bankshares, Inc.",14.26,-1.06,-6.92%,"734,069",1.516M,2.512B,12.73,10/03/2023 15:53:14
73,ALIT,"Alight, Inc.",9.02,-0.67,-6.91%,3.225M,8.833M,5.027B,N/A,10/03/2023 15:53:14
74,BEAM,Beam Therapeutics Inc.,34.81,-2.58,-6.90%,"852,894",1.129M,2.52B,N/A,10/03/2023 15:53:14
75,RPD,"Rapid7, Inc.",45.94,-3.39,-6.87%,1.133M,"813,309",2.758B,N/A,10/03/2023 15:53:14
76,VTYX,"Ventyx Biosciences, Inc.",41.49,-3.05,-6.85%,"765,720",1.01M,2.35B,N/A,10/03/2023 15:53:14
77,HTZ,"Hertz Global Holdings, Inc.",18.48,-1.35,-6.81%,2.918M,3.825M,5.958B,5.18,10/03/2023 15:53:14
78,SFNC,Simmons First National Corporation,19.59,-1.43,-6.80%,"508,672","496,043",2.491B,9.51,10/03/2023 15:53:14
79,GDS,GDS Holdings Limited,15.76,-1.15,-6.80%,1.247M,1.199M,3.033B,N/A,10/03/2023 15:53:14
80,STNE,StoneCo Ltd.,8.92,-0.65,-6.79%,4.777M,6.3M,2.789B,N/A,10/03/2023 15:53:14
81,PK,Park Hotels & Resorts Inc.,13.07,-0.95,-6.78%,3.276M,2.458M,2.902B,18.15,10/03/2023 15:53:14
82,AFRM,"Affirm Holdings, Inc.",11.31,-0.82,-6.76%,18.612M,17.954M,3.325B,N/A,10/03/2023 15:53:14
83,GH,"Guardant Health, Inc.",26.94,-1.94,-6.72%,2.191M,1.486M,2.766B,N/A,10/03/2023 15:53:14
84,BPOP,"Popular, Inc.",62.00,-4.46,-6.71%,"502,422",1.255M,4.456B,4.24,10/03/2023 15:53:14
85,AYX,"Alteryx, Inc.",60.92,-4.38,-6.71%,1.139M,1.891M,4.235B,N/A,10/03/2023 15:53:14
86,AKRO,"Akero Therapeutics, Inc.",43.85,-3.15,-6.70%,"736,532","917,800",2.051B,N/A,10/03/2023 15:53:14
87,NOV,NOV Inc.,21.06,-1.51,-6.69%,3.447M,4.304M,8.273B,54.00,10/03/2023 15:53:14
88,FSR,Fisker Inc.,6.56,-0.47,-6.69%,6.994M,7.364M,2.099B,N/A,10/03/2023 15:53:14
89,ROIV,Roivant Sciences Ltd.,7.69,-0.55,-6.67%,2.438M,1.071M,5.832B,N/A,10/03/2023 15:53:14
90,TDW,Tidewater Inc.,47.11,-3.33,-6.60%,"780,761","740,683",2.382B,N/A,10/03/2023 15:53:14
91,UCBI,"United Community Banks, Inc.",29.77,-2.10,-6.59%,"528,194","688,058",3.425B,12.67,10/03/2023 15:53:14
92,PCVX,"Vaxcyte, Inc.",38.45,-2.69,-6.54%,"711,952","626,055",3.077B,N/A,10/03/2023 15:53:14
93,VLY,Valley National Bancorp,10.15,-0.71,-6.54%,2.764M,9.841M,5.154B,8.90,10/03/2023 15:53:14
94,LNC,Lincoln National Corporation,27.34,-1.91,-6.53%,3.279M,3.201M,4.627B,N/A,10/03/2023 15:53:14
95,PTON,"Peloton Interactive, Inc.",12.74,-0.89,-6.53%,12.939M,9.167M,4.408B,N/A,10/03/2023 15:53:14
96,CATY,Cathay General Bancorp,38.67,-2.70,-6.53%,"282,386","425,856",2.806B,8.56,10/03/2023 15:53:14
97,ALB,Albemarle Corporation,236.75,-16.50,-6.52%,1.57M,1.706M,27.747B,10.37,10/03/2023 15:53:14
98,NCNO,"nCino, Inc.",24.68,-1.72,-6.52%,"555,055","376,100",2.74B,N/A,10/03/2023 15:53:14
99,ARWR,"Arrowhead Pharmaceuticals, Inc.",27.73,-1.93,-6.51%,"995,798",1.751M,3.003B,N/A,10/03/2023 15:53:14
