Symbol,Name,Last Sale,Net Change,% Change,Market Cap
SAP,SAP  SE ADS,$115.99,-1.42,-1.209%,"135,661,904,000"
RY,Royal Bank Of Canada Common Stock,$97.88,-1.48,-1.49%,"135,354,975,663"
NFLX,"Netflix, Inc. Common Stock",$297.78,-14.01,-4.493%,"132,615,362,957"
QCOM,QUALCOMM Incorporated Common Stock,$117.22,-3.98,-3.284%,"130,700,300,000"
T,AT&T Inc.,$18.32,-0.29,-1.558%,"130,619,224,317"
COP,ConocoPhillips Common Stock,$105.81,-1.42,-1.324%,"128,958,740,830"
HON,Honeywell International Inc. Common Stock,$192.88,-2.69,-1.375%,"128,870,891,806"
AXP,American Express Company Common Stock,$172.12,-2.71,-1.55%,"128,090,447,868"
DE,Deere & Company Common Stock,$421.42,-2.87,-0.676%,"125,227,925,697"
CAT,"Caterpillar, Inc. Common Stock",$240.96,-7.76,-3.12%,"124,418,609,270"
SCHW,Charles Schwab Corporation (The) Common Stock,$66.47,-9.73,-12.769%,"124,082,166,057"
UL,Unilever PLC Common Stock,$48.73,-0.12,-0.246%,"123,389,234,072"
HDB,HDFC Bank Limited Common Stock,$66.18,-1.82,-2.676%,"123,055,343,352"
UNP,Union Pacific Corporation Common Stock,$199.57,-4.00,-1.965%,"122,111,490,818"
LMT,Lockheed Martin Corporation Common Stock,$475.85,-3.65,-0.761%,"121,483,219,253"
AMGN,Amgen Inc. Common Stock,$225.79,-2.64,-1.156%,"120,566,494,778"
BA,Boeing Company (The) Common Stock,$201.24,-5.96,-2.876%,"120,389,734,085"
LOW,"Lowe's Companies, Inc. Common Stock",$199.05,-2.09,-1.039%,"120,366,047,554"
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$60.29,0.29,0.483%,"119,542,231,003"
BP,BP p.l.c. Common Stock,$39.34,-0.32,-0.807%,"118,152,793,311"
SNY,Sanofi ADS,$47.05,-0.18,-0.381%,"117,497,055,806"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$342.09,-7.20,-2.061%,"115,298,332,428"
SBUX,Starbucks Corporation Common Stock,$100.30,-2.20,-2.146%,"115,274,790,000"
IBM,International Business Machines Corporation Common Stock,$126.16,-1.89,-1.476%,"114,064,581,956"
INTU,Intuit Inc. Common Stock,$404.58,-12.09,-2.902%,"113,656,778,103"
TD,Toronto Dominion Bank (The) Common Stock,$61.89,-1.28,-2.026%,"112,681,191,351"
PLD,"Prologis, Inc. Common Stock",$121.30,-3.76,-3.007%,"112,011,937,700"
RIO,Rio Tinto Plc Common Stock,$68.22,-3.36,-4.694%,"110,581,675,488"
SPGI,S&P Global Inc. Common Stock,$333.93,-4.95,-1.461%,"109,929,756,000"
INTC,Intel Corporation Common Stock,$26.44,0.46,1.771%,"109,382,280,000"
ELV,"Elevance Health, Inc. Common Stock",$459.96,-6.71,-1.438%,"109,221,078,649"
PDD,PDD Holdings Inc. American Depositary Shares,$85.65,-7.38,-7.933%,"108,294,632,550"
SONY,Sony Group Corporation American Depositary Shares ,$86.56,-1.50,-1.703%,"106,874,795,051"
MDT,Medtronic plc. Ordinary Shares,$78.00,-0.40,-0.51%,"103,769,350,386"
SYK,Stryker Corporation Common Stock,$268.35,2.76,1.039%,"101,659,365,669"
GE,General Electric Company Common Stock,$91.56,4.58,5.266%,"99,735,076,793"
CVS,CVS Health Corporation Common Stock,$77.00,-2.81,-3.521%,"98,876,598,359"
AMAT,"Applied Materials, Inc. Common Stock",$117.04,-1.61,-1.357%,"98,673,874,050"
GILD,"Gilead Sciences, Inc. Common Stock",$78.95,-1.25,-1.559%,"98,450,650,000"
BLK,"BlackRock, Inc. Common Stock",$651.28,-23.08,-3.423%,"97,533,408,110"
BKNG,Booking Holdings Inc. Common Stock,"$2,505.39",-77.48,-3.00%,"97,182,544,801"
DEO,Diageo plc Common Stock,$169.85,-0.55,-0.323%,"96,070,384,772"
C,"Citigroup, Inc. Common Stock",$48.60,-2.08,-4.104%,"94,131,049,190"
ADI,"Analog Devices, Inc. Common Stock",$183.56,-3.01,-1.613%,"92,854,284,716"
